01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2011,Celorico da Beira,Município,T3,,,, fogos,4
2011,Celorico da Beira,Município,T4 ou mais,,,, fogos,3
2011,Celorico da Beira,Município,Total,,,, fogos,8
2011,Celorico de Basto,Município,T0 ou T1,,,, fogos,1
2011,Celorico de Basto,Município,T2,,,, fogos,5
2011,Celorico de Basto,Município,T3,,,, fogos,44
2011,Celorico de Basto,Município,T4 ou mais,,,, fogos,23
2011,Celorico de Basto,Município,Total,,,, fogos,73
2011,Chamusca,Município,T0 ou T1,,,, fogos,0
2011,Chamusca,Município,T2,,,, fogos,2
2011,Chamusca,Município,T3,,,, fogos,4
2011,Chamusca,Município,T4 ou mais,,,, fogos,4
2011,Chamusca,Município,Total,,,, fogos,10
2011,Chaves,Município,T0 ou T1,,,, fogos,0
2011,Chaves,Município,T2,,,, fogos,3
2011,Chaves,Município,T3,,,, fogos,36
2011,Chaves,Município,T4 ou mais,,,, fogos,13
2011,Chaves,Município,Total,,,, fogos,52
2011,Cinfães,Município,T0 ou T1,,,, fogos,1
2011,Cinfães,Município,T2,,,, fogos,6
2011,Cinfães,Município,T3,,,, fogos,38
2011,Cinfães,Município,T4 ou mais,,,, fogos,11
2011,Cinfães,Município,Total,,,, fogos,56
2011,Coimbra,Município,T0 ou T1,,,, fogos,101
2011,Coimbra,Município,T2,,,, fogos,205
2011,Coimbra,Município,T3,,,, fogos,259
2011,Coimbra,Município,T4 ou mais,,,, fogos,161
2011,Coimbra,Município,Total,,,, fogos,726
2011,Condeixa-a-Nova,Município,T0 ou T1,,,, fogos,0
2011,Condeixa-a-Nova,Município,T2,,,, fogos,3
2011,Condeixa-a-Nova,Município,T3,,,, fogos,38
2011,Condeixa-a-Nova,Município,T4 ou mais,,,, fogos,10
2011,Condeixa-a-Nova,Município,Total,,,, fogos,51
2011,Constância,Município,T0 ou T1,,,, fogos,0
2011,Constância,Município,T2,,,, fogos,0
2011,Constância,Município,T3,,,, fogos,3
2011,Constância,Município,T4 ou mais,,,, fogos,2
2011,Constância,Município,Total,,,, fogos,5
2011,Coruche,Município,T0 ou T1,,,, fogos,1
2011,Coruche,Município,T2,,,, fogos,2
2011,Coruche,Município,T3,,,, fogos,14
2011,Coruche,Município,T4 ou mais,,,, fogos,0
2011,Coruche,Município,Total,,,, fogos,17
2011,Corvo,Município,T0 ou T1,,,, fogos,0
2011,Corvo,Município,T2,,,, fogos,0
2011,Corvo,Município,T3,,,, fogos,0
2011,Corvo,Município,T4 ou mais,,,, fogos,0
2011,Corvo,Município,Total,,,, fogos,0
2011,Covilhã,Município,T0 ou T1,,,, fogos,3
2011,Covilhã,Município,T2,,,, fogos,11
2011,Covilhã,Município,T3,,,, fogos,34
2011,Covilhã,Município,T4 ou mais,,,, fogos,30
2011,Covilhã,Município,Total,,,, fogos,78
2011,Crato,Município,T0 ou T1,,,, fogos,0
