;Cidades;202101;202102;202103;202104;202105;202106;202107;202108;202109;202110;202111;202112
208;Ovar;13,0;14,5;17,0;19,0;19,0;22,5;23,0;25,0;24,0;23,0;17,0;16,0
209;Pacos de Ferreira;12,0;14,0;17,0;19,5;20,0;25,5;28,0;29,0;27,0;23,0;16,0;14,0
210;Palmela;13,0;15,5;17,0;19,0;23,0;25,0;28,0;28,0;27,5;26,0;20,0;18,0
211;Pampilhosa da Serra;12,0;14,5;18,0;21,0;22,0;26,5;28,0;31,0;28,0;25,0;19,0;16,0
212;Paredes;8,0;10,5;15,0;16,0;20,0;25,0;30,0;32,0;24,0;20,0;13,5;11,0
213;Paredes de Coura;12,0;13,0;17,0;19,0;20,0;25,0;28,0;31,0;27,0;22,0;17,5;15,0
214;Pedrogao Grande;12,0;14,5;18,0;21,0;22,0;26,5;28,0;31,0;28,0;25,0;19,0;16,0
215;Penacova;12,0;14,5;18,0;21,0;22,0;26,5;28,0;31,0;28,0;25,0;19,0;16,0
216;Penafiel;12,0;14,0;17,0;19,5;20,0;25,5;28,0;29,0;27,0;23,0;16,0;14,0
217;Penalva do Castelo;10,0;12,0;16,0;19,0;21,0;27,0;30,0;32,0;26,0;22,0;15,0;13,5
218;Penamacor;10,0;12,0;16,0;17,0;22,0;28,0;31,0;33,0;26,0;23,0;15,5;13,0
219;Penedono;9,0;12,0;16,0;17,0;20,0;26,0;29,0;31,0;25,0;20,0;14,0;12,0
220;Penela;12,0;14,5;18,0;21,0;22,0;26,5;28,0;31,0;28,0;25,0;19,0;16,0
221;Peniche;13,0;15,0;16,0;18,0;19,0;20,5;22,0;23,0;25,0;22,0;18,0;17,0
222;Peso da Regua;9,0;12,0;16,0;17,0;20,0;26,0;29,0;31,0;25,0;20,0;14,0;12,0
223;Pinhel;7,0;10,0;14,0;15,5;19,0;25,0;28,0;31,0;24,0;21,0;12,5;10,0
224;Pombal;13,0;15,5;17,0;19,0;24,0;26,0;29,0;30,0;29,0;25,0;19,0;17,0
225;Ponta Delgada;16,0;15,0;16,0;17,0;18,0;21,0;22,0;24,0;23,0;22,0;20,0;18,0
226;Ponta do Sol;13,0;14,5;13,0;15,0;17,0;19,0;25,0;23,0;22,0;21,0;17,0;15,0
227;Ponte da Barca;12,0;13,0;17,0;19,0;20,0;25,0;28,0;31,0;27,0;22,0;17,5;15,0
228;Ponte de Lima;12,0;13,0;17,0;19,0;20,0;25,0;28,0;31,0;27,0;22,0;17,5;15,0
229;Ponte de Sor;12,0;16,0;19,0;20,0;25,0;30,0;31,0;33,0;29,0;27,0;18,0;17,0
230;Portalegre;12,0;12,5;15,0;20,0;25,0;30,0;32,0;33,0;29,0;27,0;18,0;17,0
231;Portel;12,0;15,5;17,0;20,5;25,0;30,5;34,0;34,0;29,5;27,0;18,0;16,5
232;Portimao;14,0;16,0;18,0;19,0;23,0;24,5;27,0;28,0;28,0;25,0;20,0;18,0
233;Porto;13,0;14,0;17,0;18,0;18,0;20,5;22,0;23,0;23,0;22,0;17,0;15,0
234;Porto Moniz;13,0;14,5;13,0;15,0;17,0;19,0;25,0;23,0;22,0;21,0;17,0;15,0
235;Porto Santo;17,0;17,5;16,0;18,0;19,0;20,0;21,0;22,0;23,0;22,0;20,0;19,0
236;Porto de Mos;12,0;14,5;16,0;18,5;19,0;21,0;22,0;24,0;24,0;22,0;18,0;16,0
237;Povoa de Lanhoso;12,0;13,0;18,0;19,0;20,0;25,5;29,0;30,0;27,0;23,0;17,0;14,5
238;Povoa de Varzim;13,0;14,0;15,0;16,0;16,0;18,5;19,0;21,0;22,0;20,0;17,0;15,0
